#nmismatch	name1	strand1	start1	end1	name2	strand2	start2	end2
0	U00096.2	+	37408	38096	NODE_1_length_689_cov_2.546407	+	1	689
0	U00096.2	+	38693	38964	NODE_2_length_272_cov_1.561753	+	1	272
0	U00096.2	+	997	1333	NODE_3_length_337_cov_1.208861	+	1	337
0	U00096.2	+	3218	3558	NODE_4_length_341_cov_2.912500	+	1	341
0	U00096.2	+	77926	78643	NODE_5_length_718_cov_3.992826	+	1	718
258	U00096.2	+	2262217	2262910	NODE_5_length_718_cov_3.992826	+	22	718
283	U00096.2	+	3835306	3836003	NODE_5_length_718_cov_3.992826	+	23	717
0	U00096.2	+	81814	82115	NODE_6_length_302_cov_1.537367	-	1	302
0	U00096.2	+	9532	9740	NODE_7_length_209_cov_1.680851	+	1	209
0	U00096.2	+	53572	54002	NODE_8_length_431_cov_1.887805	+	1	431
0	U00096.2	+	43190	43363	NODE_9_length_174_cov_1.549020	-	1	174
0	U00096.2	+	20706	20892	NODE_10_length_187_cov_2.204819	+	1	187
0	U00096.2	+	94297	94531	NODE_11_length_235_cov_2.135514	-	1	235
0	U00096.2	+	6755	6973	NODE_12_length_219_cov_1.196970	-	1	219
0	U00096.2	+	34838	35072	NODE_13_length_235_cov_1.397196	+	1	235
0	U00096.2	+	83291	83697	NODE_14_length_407_cov_2.269430	+	1	407
0	U00096.2	+	21518	21925	NODE_15_length_408_cov_2.821705	+	1	408
0	U00096.2	+	73431	73798	NODE_16_length_368_cov_1.455331	+	1	368
0	U00096.2	+	60725	60933	NODE_17_length_209_cov_1.436170	+	1	209
0	U00096.2	+	7170	7417	NODE_18_length_248_cov_2.057269	-	1	248
0	U00096.2	+	35964	36334	NODE_19_length_371_cov_2.462857	+	1	371
0	U00096.2	+	21932	22382	NODE_20_length_451_cov_2.716279	+	1	451
0	U00096.2	+	81025	81235	NODE_21_length_211_cov_1.247368	+	1	211
0	U00096.2	+	41139	41402	NODE_22_length_264_cov_3.711934	+	1	264
0	U00096.2	+	1570	1840	NODE_23_length_271_cov_1.264000	-	1	271
0	U00096.2	+	32995	33281	NODE_24_length_287_cov_1.736842	+	1	287
0	U00096.2	+	85367	85734	NODE_25_length_368_cov_1.576369	+	1	368
0	U00096.2	+	67082	67312	NODE_26_length_231_cov_3.233333	-	1	231
0	U00096.2	+	68274	68726	NODE_27_length_453_cov_2.981481	+	1	453
0	U00096.2	+	69908	70262	NODE_28_length_355_cov_2.110778	-	1	355
0	U00096.2	+	38192	38406	NODE_29_length_215_cov_1.195876	+	1	215
0	U00096.2	+	9730	9914	NODE_30_length_185_cov_1.902439	+	1	185
0	U00096.2	+	91308	91591	NODE_31_length_284_cov_1.566540	+	1	284
0	U00096.2	+	82916	83220	NODE_32_length_305_cov_2.221831	+	1	305
0	U00096.2	+	53210	53582	NODE_33_length_373_cov_2.142045	-	1	373
0	U00096.2	+	2793	3051	NODE_34_length_259_cov_2.184874	-	1	259
0	U00096.2	+	8474	9015	NODE_35_length_542_cov_2.953935	-	1	542
138	U00096.2	+	2576922	2577447	NODE_35_length_542_cov_2.953935	-	2	527
0	U00096.2	+	30588	30877	NODE_36_length_290_cov_1.661710	+	1	290
0	U00096.2	+	10755	11300	NODE_37_length_546_cov_2.373333	-	1	546
0	U00096.2	+	16706	16785	NODE_38_length_80_cov_1.728814	+	1	80
2	U00096.2	+	2513614	2513649	NODE_38_length_80_cov_1.728814	+	1	36
12	U00096.2	+	607182	607255	NODE_38_length_80_cov_1.728814	-	6	80
0	U00096.2	+	15392	16726	NODE_39_length_1335_cov_3.433790	+	1	1335
0	U00096.2	+	607235	608569	NODE_39_length_1335_cov_3.433790	+	1	1335
0	U00096.2	+	2512300	2513634	NODE_39_length_1335_cov_3.433790	+	1	1335
0	U00096.2	+	75968	76385	NODE_40_length_418_cov_1.780856	-	1	418
0	U00096.2	+	74220	74517	NODE_41_length_298_cov_1.794224	-	1	298
0	U00096.2	+	99482	99684	NODE_42_length_203_cov_1.357143	-	1	203
0	U00096.2	+	35070	35459	NODE_43_length_390_cov_2.070461	+	1	390
98	U00096.2	+	1462513	1462794	NODE_43_length_390_cov_2.070461	-	107	388
0	U00096.2	+	78667	78955	NODE_44_length_289_cov_1.473881	-	1	289
