#nmismatch	name1	strand1	start1	end1	name2	strand2	start2	end2
0	U00096.2	+	61790	63526	NODE_1_length_1737_cov_1.140904	-	1	1737
2	U00096.2	+	15377	16785	NODE_2_length_1409_cov_1.864106	+	1	1409
6	U00096.2	+	607220	608585	NODE_2_length_1409_cov_1.864106	+	1	1366
2	U00096.2	+	2512285	2513649	NODE_2_length_1409_cov_1.864106	+	1	1365
12	U00096.2	+	607182	607255	NODE_2_length_1409_cov_1.864106	-	6	80
2	U00096.2	+	608549	608584	NODE_2_length_1409_cov_1.864106	-	1374	1409
14	U00096.2	+	39150	39232	NODE_3_length_1084_cov_1.084548	+	599	677
2	U00096.2	+	65966	66656	NODE_3_length_1084_cov_1.084548	+	1	691
1	U00096.2	+	66649	66741	NODE_3_length_1084_cov_1.084548	+	599	691
7	U00096.2	+	66734	66826	NODE_3_length_1084_cov_1.084548	+	599	691
13	U00096.2	+	374254	374362	NODE_3_length_1084_cov_1.084548	+	599	691
13	U00096.2	+	374355	374463	NODE_3_length_1084_cov_1.084548	+	599	691
14	U00096.2	+	374456	374564	NODE_3_length_1084_cov_1.084548	+	599	691
6	U00096.2	+	757631	757681	NODE_3_length_1084_cov_1.084548	+	641	691
19	U00096.2	+	836782	836857	NODE_3_length_1084_cov_1.084548	+	615	691
19	U00096.2	+	2175390	2175479	NODE_3_length_1084_cov_1.084548	+	595	691
117	U00096.2	+	2344845	2345275	NODE_3_length_1084_cov_1.084548	+	274	691
20	U00096.2	+	2345267	2345383	NODE_3_length_1084_cov_1.084548	+	598	705
15	U00096.2	+	2428948	2429034	NODE_3_length_1084_cov_1.084548	+	597	677
14	U00096.2	+	3096434	3096532	NODE_3_length_1084_cov_1.084548	+	599	691
13	U00096.2	+	3201165	3201263	NODE_3_length_1084_cov_1.084548	+	599	691
16	U00096.2	+	3215455	3215572	NODE_3_length_1084_cov_1.084548	+	599	704
8	U00096.2	+	3311271	3311323	NODE_3_length_1084_cov_1.084548	+	639	691
17	U00096.2	+	3752878	3752978	NODE_3_length_1084_cov_1.084548	+	595	691
15	U00096.2	+	4323873	4323960	NODE_3_length_1084_cov_1.084548	+	599	677
15	U00096.2	+	4323973	4324060	NODE_3_length_1084_cov_1.084548	+	599	677
15	U00096.2	+	4324073	4324160	NODE_3_length_1084_cov_1.084548	+	599	677
15	U00096.2	+	4324173	4324260	NODE_3_length_1084_cov_1.084548	+	599	677
15	U00096.2	+	4324273	4324360	NODE_3_length_1084_cov_1.084548	+	599	677
14	U00096.2	+	4631157	4631262	NODE_3_length_1084_cov_1.084548	+	599	686
23	U00096.2	+	5158	5712	NODE_3_length_1084_cov_1.084548	-	1	523
14	U00096.2	+	111457	111580	NODE_3_length_1084_cov_1.084548	-	394	486
15	U00096.2	+	216082	216166	NODE_3_length_1084_cov_1.084548	-	394	470
11	U00096.2	+	247485	247565	NODE_3_length_1084_cov_1.084548	-	394	464
17	U00096.2	+	248227	248335	NODE_3_length_1084_cov_1.084548	-	394	486
31	U00096.2	+	348791	348915	NODE_3_length_1084_cov_1.084548	-	372	486
19	U00096.2	+	348908	349008	NODE_3_length_1084_cov_1.084548	-	394	486
18	U00096.2	+	349001	349101	NODE_3_length_1084_cov_1.084548	-	394	486
19	U00096.2	+	349094	349194	NODE_3_length_1084_cov_1.084548	-	394	486
3	U00096.2	+	353958	353999	NODE_3_length_1084_cov_1.084548	-	408	449
8	U00096.2	+	500702	500751	NODE_3_length_1084_cov_1.084548	-	394	443
18	U00096.2	+	762013	762108	NODE_3_length_1084_cov_1.084548	-	395	486
2	U00096.2	+	900023	900058	NODE_3_length_1084_cov_1.084548	-	408	443
14	U00096.2	+	2116490	2116579	NODE_3_length_1084_cov_1.084548	-	408	486
16	U00096.2	+	2116572	2116676	NODE_3_length_1084_cov_1.084548	-	394	486
16	U00096.2	+	2302466	2302586	NODE_3_length_1084_cov_1.084548	-	394	486
15	U00096.2	+	2302579	2302699	NODE_3_length_1084_cov_1.084548	-	394	486
17	U00096.2	+	2302692	2302812	NODE_3_length_1084_cov_1.084548	-	394	486
15	U00096.2	+	2302805	2302925	NODE_3_length_1084_cov_1.084548	-	394	486
18	U00096.2	+	2302918	2303038	NODE_3_length_1084_cov_1.084548	-	394	486
112	U00096.2	+	2509051	2509462	NODE_3_length_1084_cov_1.084548	-	111	486
16	U00096.2	+	2537629	2537715	NODE_3_length_1084_cov_1.084548	-	408	484
3	U00096.2	+	2806197	2806236	NODE_3_length_1084_cov_1.084548	-	404	443
5	U00096.2	+	3040329	3040376	NODE_3_length_1084_cov_1.084548	-	394	441
4	U00096.2	+	3040440	3040497	NODE_3_length_1084_cov_1.084548	-	393	443
4	U00096.2	+	3137670	3137726	NODE_3_length_1084_cov_1.084548	-	394	444
1	U00096.2	+	3706345	3706381	NODE_3_length_1084_cov_1.084548	-	408	444
164	U00096.2	+	3748081	3748693	NODE_3_length_1084_cov_1.084548	-	473	1084
17	U00096.2	+	4025520	4025626	NODE_3_length_1084_cov_1.084548	-	394	486
18	U00096.2	+	4092366	4092465	NODE_3_length_1084_cov_1.084548	-	394	486
16	U00096.2	+	4092458	4092557	NODE_3_length_1084_cov_1.084548	-	394	486
17	U00096.2	+	4092550	4092649	NODE_3_length_1084_cov_1.084548	-	394	486
17	U00096.2	+	4092642	4092741	NODE_3_length_1084_cov_1.084548	-	394	486
34	U00096.2	+	4233417	4233553	NODE_3_length_1084_cov_1.084548	-	347	486
15	U00096.2	+	4243142	4243241	NODE_3_length_1084_cov_1.084548	-	394	486
17	U00096.2	+	4247371	4247473	NODE_3_length_1084_cov_1.084548	-	394	490
4	U00096.2	+	4283352	4283401	NODE_3_length_1084_cov_1.084548	-	394	443
15	U00096.2	+	4315938	4316024	NODE_3_length_1084_cov_1.084548	-	406	487
189	U00096.2	+	4421697	4422291	NODE_3_length_1084_cov_1.084548	-	472	1080
14	U00096.2	+	4458424	4458522	NODE_3_length_1084_cov_1.084548	-	394	486
14	U00096.2	+	4482352	4482440	NODE_3_length_1084_cov_1.084548	-	404	486
0	U00096.2	+	88623	89705	NODE_4_length_1083_cov_1.457198	+	1	1083
0	U00096.2	+	24420	25375	NODE_5_length_956_cov_1.034406	-	1	956
14	U00096.2	+	1049003	1049784	NODE_6_length_842_cov_3.841169	+	1	782
3	U00096.2	+	3581453	3582222	NODE_6_length_842_cov_3.841169	+	1	770
75	U00096.2	+	4516497	4517268	NODE_6_length_842_cov_3.841169	+	1	772
1	U00096.2	+	19720	20561	NODE_6_length_842_cov_3.841169	-	1	842
9	U00096.2	+	278385	279152	NODE_6_length_842_cov_3.841169	-	75	842
8	U00096.2	+	289858	290623	NODE_6_length_842_cov_3.841169	-	77	842
1	U00096.2	+	1976527	1977292	NODE_6_length_842_cov_3.841169	-	77	842
0	U00096.2	+	53210	54002	NODE_7_length_793_cov_1.149051	-	1	793
0	U00096.2	+	77926	78643	NODE_8_length_718_cov_2.304676	+	1	718
258	U00096.2	+	2262217	2262910	NODE_8_length_718_cov_2.304676	+	22	718
283	U00096.2	+	3835306	3836003	NODE_8_length_718_cov_2.304676	+	23	717
0	U00096.2	+	14419	15133	NODE_9_length_715_cov_1.603030	+	1	715
0	U00096.2	+	85023	85734	NODE_10_length_712_cov_1.171994	-	1	712
